University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
Illinois State University (ISU),Political Science,"$13,590",0.60,2025-2026,,,"$13,590",,,
University of Virginia (UVA),Environmental Sciences,"$36,000",1.58,2025-2026,1st,"$36,000",,,,
University of North Texas (UNT),clinical psychology,"$18,000",0.83,2025-2026,4th,,"$18,000",,,Tuition is partially covered 
Yale University (YU),Pathology,"$52,310",2.12,2025-2026,5th,"$52,310",,,,
Vanderbilt University,history,"$36,500",1.59,2025-2026,6th and up,"$36,500",,,,
Purdue University - West Lafayette,Chemistry,"$30,518",1.44,2025-2026,3rd,"$31,518",,,"$1,000",
Washington University in St. Louis (Wash U),Imaging Science,"$39,700",1.92,2025-2026,,"$39,700",,,,
Duke University (DU),Public Policy,"$42,500",1.91,2025-2026,,"$42,500",,,,
North Carolina State University (NCSU),Chemistry,"$27,000",1.18,2025-2026,1st,"$29,500",,,"$2,500",This stipend is for TA. Insurance and tuition fee are covered. Required Fees are student fee per month. 
Vanderbilt University,Physics,"$35,786",1.56,2025-2026,1st,"$36,500",,,$714,$36500 Stipend minus $714 in mandatory fees.
California Institute of Technology (Caltech),ESE,"$48,244",1.86,2025-2026,5th,"$48,244",,,,Excluding union dues
Carnegie Mellon University (CMU),Materials Science and Engineering ,"$35,973",1.74,2025-2026,5th,"$36,500",,,$527,
Illinois Institute of Technology (IIT),Computer Science,"$19,000",0.78,2025-2026,1st,,"$22,000",,"$3,000",Health Insurance not covered. Around 2300+ fees 700
Princeton University,art and archaeology,"$51,000",2.01,2025-2026,1st,"$51,000",,,,
St. Louis University (SLU),American Studies,"$24,200",1.17,2024-2025,5th,,"$25,000",,$800,
Brown University,chemical engineering,"$52,198",2.29,2025-2026,5th,"$52,198",,,,
University of Georgia (UGA),PhD in Chemistry,"$28,454",1.35,2025-2026,1st,"$29,254",,,$800,
Texas A&amp;M; University - College Station,statistics,"$34,000",,2025-2026,1st,"$34,000",,,,
University of Oklahoma (OU),Norman,"$1,510",0.08,2024-2025,1st,"$1,510",,,,"1,510/month"
University of Illinois - Urbana- Champaign (UIUC),environmental engineering,"$34,000",1.55,2025-2026,1st,"$36,000",,,"$2,000",
Stanford University (SU),Mechanical Engineering ,"$54,000",1.88,2025-2026,4th,"$54,000",,,,
University of Florida (UF),Biomedical Sciences,"$37,000",1.63,2025-2026,1st,"$37,000",,,,
Northwestern University (NU),DGP,"$46,800",1.93,2025-2026,1st,"$46,800",,,,
Carnegie Mellon University (CMU),Computer Science,"$42,000",2.03,2025-2026,1st,"$50,400",,,"$8,400",
,economics,"$5,000",,2025-2026,4th,,"$50,000",,"$45,000",
Emory University,History,"$44,500",1.91,2025-2026,1st,"$44,500",,,,"Base is $42,000. Received a fellowship of $2,500 per year in addition. "
Texas Tech University (TTU),Economics,"$20,127",0.99,2024-2025,1st,,"$20,127",,,$2K for a months; after tax and tution fees students get around $14K-$15K for a year; possible to get $1500 extra fellowship starting from 2nd year; possible to work during summer 
Northern Illinois University (NIU),Computer Science PhD,"$23,400",1.06,2025-2026,1st,"$26,400",,,"$3,000",
Louisiana State University School of Medicine - Shreveport,Pathology,"$30,800",1.42,2025-2026,1st,"$32,000",,,"$1,200",
,Chemistry,"$12,000",,2024-2025,4th,"$12,000",,,,
George Washington University (GW),electrical engineering,"$36,000",1.17,2025-2026,1st,,"$26,100","$9,900",,
Arizona State University (ASU),Mechanical Engineering,"$24,044",1.08,2025-2026,2nd,,"$26,544",,"$2,500",This is for a 20hr/week TA position in the Fall and Spring semesters combined. Might make more as a TA/RA in the summer. 
Indiana University,"Genome, Cell, and Developmental Biology","$30,000",1.39,2022-2023,5th,"$30,000",,,,Healthcare and dental insurance paid for
