University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
University of Arizona (U of A),linguistics,"$14,000",0.68,2016-2017,4th,,"$14,000",,,
University of Chicago (UC),Sociology,"$28,000",1.15,2016-2017,1st,,"$25,000","$3,000",,
,History,"$20,000",,2016-2017,,"$20,000",,,,
University of Texas - Austin (UT),Political Science,"$18,074",0.79,2016-2017,1st,,"$18,074",,,"15,074 TA  stipend plus 3000 fellowship; include health insurance; no summer funding guaranteed; disappointed."
University of Texas - Austin (UT),Political Science ,"$16,684",0.73,2016-2017,1st,,"$16,684",,,"Very little, does not include summer"
University of California - San Diego (UCSD),Political Science ,"$23,000",0.87,2016-2017,1st,"$23,000",,,,"23k first year including summer, then 23k for nine months, plus 3k research account"
University of Wisconsin - Madison (UW),Political Science ,"$23,000",1.01,2016-2017,,,"$23,000",,,"does not include summer, this is the initial offer "
University of Texas - Austin (UT),English,"$15,965",0.70,2016-2017,1st,,"$13,684","$2,281",,
University of Minnesota - Twin Cities (UM),Electrical Engineering,"$30,000",1.31,2016-2017,1st,"$30,000",,,,
Rice University,Chemical Engineering,"$28,300",1.30,2016-2017,1st,"$28,300",,,,
University of Texas - Austin (UT),Government,"$14,400",0.63,2016-2017,5th,,"$14,400",,,
Indiana University,Jewish Studies,"$17,700",0.82,2016-2017,2nd,,"$20,000",,"$2,300",
University of California - Santa Barbara (UCSB),,"$19,947",0.76,2016-2017,,,"$20,900",,$953,
University of Kentucky (UK),,"$18,470",0.90,2016-2017,,,"$16,000","$3,100",$630,"So, technically my contract says 10 months, and then I got 1 month of stipend during summer.  
I don't understand the logic behind required university fees. Some of them are covered by the grad school, but not all. So, it feels like UK is giving you money with the right hand, and then takes it back with the left hand. (E.g., Johnson centre fee seems to be optional, but the grad school covers it - which is awesome, don't get me wrong- but then students are to pay some other 'more important'  for the university fees. )  I guess I would understand this 'paying fee'  thing if it were vice versa. 
Moreover, there is always some confusion with taxes. Not all students who are RA's know that they should sign the Royster agreement, which allows to waive local tax deduction. "
Idaho State University (ISU),Nuclear Science & Engineering,"$25,000",1.32,2016-2017,,"$25,000",,,,
University of Kentucky (UK),College of Public Health,"$-3,600",-0.18,2016-2017,1st,"$14,400",,,"$18,000",
University of Maryland - College Park (UMD),computer science,"$29,500",0.98,2016-2017,5th,"$31,000",,,"$1,500",
University of California - Davis (UCD),Statistics,"$25,000",1.04,2016-2017,1st,,"$20,000","$5,000",,
University of Washington (UW),cell,"$28,445",1.22,2016-2017,2nd,"$30,000",,,"$1,555",
University of Massachusetts - Lowell (UML),,"$16,000",0.57,2016-2017,1st,"$16,000",,,,
Yale University (YU),SEAS,"$36,500",1.48,2016-2017,1st,"$36,500",,,,
University of Colorado - Boulder (UCB),,"$31,400",1.23,2016-2017,1st,"$31,400",,,,
University of North Carolina - Chapel Hill (UNC),Business Management PhD,"$28,200",1.27,2016-2017,1st,"$30,000",,,"$1,800",
University of Michigan - Ann Arbor (UM),Mathematics,"$25,000",1.08,2016-2017,1st,,"$19,737","$5,263",,
Louisiana State University - Baton Rouge,Political Science,"$14,000",0.64,2016-2017,,,"$14,000",,,Does not include health insurance.
Southern Illinois University - Carbondale (SIUC),Clinical Psychology,"$11,000",0.55,2016-2017,1st,,"$13,000",,"$2,000","Stipend is around $13,000 before taxes. Fees are around $2,000 per semester. "
Cornell,Biologocal and Biomedical Sciences,"$34,251",,2016-2017,1st,"$34,293",,,$42,
Washington University in St. Louis (Wash U),Olin Business School,"$25,000",1.21,2016-2017,2nd,"$25,000",,,,
University of Pennsylvania,Biology,"$29,500",1.22,2016-2017,3rd,"$29,500",,,,
Carnegie Mellon University (CMU),Materials Science & Engineering,"$28,800",1.39,2016-2017,1st,"$28,800",,,,Includes tuition but nothing else.
Pennsylvania State University (Penn State),,"$17,955",0.80,2015-2016,3rd,,"$17,955",,,
University of California - Davis (UCD),Biostatistics,"$20,000",0.83,2016-2017,1st,"$20,000",,,,
University of Utah,Computer Science,"$19,000",0.85,2016-2017,1st,,"$21,000",,"$2,000",1-year Fellowship
Purdue University - West Lafayette,Agricultural Economics,"$22,697",1.07,2016-2017,2nd,"$23,000",,,$303,
University of Southern California (USC),American Studies,"$26,000",1.00,2016-2017,1st,"$26,000",,,,"Tuition fees, health & dental insurance, and all student fees are fully covered. My annual 26K stipend is for 5 years (3 years fellowship + 2 years TA/RA)"
University of Colorado - Denver (UCD),Cancer Biology,"$28,500",1.27,2016-2017,3rd,"$28,500",,,,
University of Colorado Anschutz Medical Campus,Cancer Biology,"$28,500",,2016-2017,3rd,"$28,500",,,,
Stanford University (SU),Materials Science and Engineering,"$44,300",1.54,2016-2017,1st,"$44,300",,,,Additional Internal Fellowship
University of Wisconsin - Madison (UW),Pharmaceutical,"$25,000",1.09,2016-2017,1st,"$25,000",,,,
University of California - Santa Barbara (UCSB),Philosophy,"$17,000",0.65,2016-2017,4th,"$17,000",,,,
University of South Carolina (USC),Chemistry and Biochemistry,"$23,652",1.05,2016-2017,1st,"$24,000",,,$348,
Carnegie Mellon University (CMU),Materials Science and Engineering,"$28,800",1.39,2016-2017,1st,"$28,800",,,,Fellowship
University of Oregon (UO),Computer Science,"$15,689",0.75,2016-2017,1st,,"$15,750",,$61,
University of Kentucky (UK),Philosophy,"$16,250",0.80,2016-2017,5th,,"$16,250",,,"As of 2016-2017, graduate students are paid bi-monthly about $812 gross and $777 take home. "
Bowling Green State University (BGSU),Psychology,"$11,000",0.59,2016-2017,4th,,"$13,000",,"$2,000",
University of Calgary,Chemical and petroleum,"$2,000",,2016-2017,1st,"$26,000",,,"$24,000",N/A
,,"$8,250",,2016-2017,,,"$9,250",,"$1,000",
University of Pennsylvania,Chemical Engineering,"$31,500",1.31,2016-2017,1st,"$31,500",,,,
Utah State University (USU),Kinesiology and Health Science,"$19,300",0.93,2016-2017,4th,"$20,000",,,$700,
,,"$29,000",,2016-2017,1st,"$29,000",,,,
Loyola University Chicago (LUC),English,"$18,000",0.74,2016-2017,1st,,"$18,000",,,
,,"$30,000",,2016-2017,1st,"$30,000",,,,
nc state university ,psychology,"$14,000",,2016-2017,1st,"$14,000",,,,
University of Texas - Dallas (UTD),computer science,"$-4,000",-0.19,2016-2017,,"$16,000",,,"$20,000",
University of Pennsylvania,Sociology,"$27,468",1.14,2016-2017,2nd,"$27,468",,,,
University of Southern California (USC),Cinema & Media Studies,"$29,500",1.14,2016-2017,1st,"$30,000",,,$500,
University of Gottingen,IMPRS MSc Molecular Biology,"$9,747",,2016-2017,1st,"$10,273",,,$526,
Cornell University (CU),Materials Science and Engineering,"$33,000",1.36,2016-2017,1st,"$33,000",,,,
University of California - Berkeley,Materials Science and Engineering,"$33,400",1.20,2016-2017,1st,"$33,400",,,,
Stanford University (SU),Materials Science and Engineering,"$33,000",1.15,2016-2017,1st,"$33,000",,,,
Stanford University (SU),Materials Science and Engineering,"$38,800",1.35,2016-2017,1st,"$38,800",,,,
Michigan Technological University (MTU),Electrical Engineering,"$11,200",0.55,2015-2016,2nd,"$12,000",,,$800,
University of Arkansas - Fayetteville,department of poultry science,"$21,000",1.05,2016-2017,,"$21,000",,,,
University of Illinois - Urbana- Champaign (UIUC),Chemistry,"$24,120",1.10,2016-2017,1st,"$24,550",,,$430,
Michigan State University (MSU),Electrical and Computer Engineering,"$19,146",0.93,2016-2017,4th,"$19,920",,,$774,
University of Florida (UF),Materials Science and Engineering,"$28,233",1.24,2016-2017,1st,"$30,200",,,"$1,967","Just admitted to the program, have not actually started"
University of Central Florida (UCF),Mechanical and Aerospace Engineering,"$15,000",0.65,2016-2017,5th,"$18,000",,,"$3,000",
University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,"$30,000",1.35,2016-2017,1st,"$30,000",,,,
University of California - Los Angeles (UCLA),Bioengineering,"$25,600",0.99,2016-2017,,"$25,600",,,,
West Virginia University (WVU),Finance,"$22,800",1.02,2016-2017,4th,"$24,000",,,"$1,200","I also work as a tutor and an option trader my total annual income is in excess of $100,000. "
Rice University,Chemical & Biomolecular Engineering,"$28,500",1.30,2016-2017,1st,"$28,500",,,,
University of Delaware (UD),biomedical engineering,"$28,000",1.10,2016-2017,1st,"$28,000",,,,
University of Alabama - Birmingham (UAB),Biostatistics,"$18,000",0.84,2016-2017,3rd,"$18,000",,,,
Georgetown University,Government,"$25,000",0.81,2016-2017,1st,"$25,000",,,,
University of Minnesota - Twin Cities (UM),Public Affairs,"$24,000",1.05,2016-2017,2nd,"$24,000",,,,
University of Kentucky (UK),Economics,"$13,500",0.66,2016-2017,2nd,,"$13,500",,,
Florida International University (FIU),Biology,"$20,291",0.85,2016-2017,1st,"$23,460",,,"$3,169",Teaching Assistants required to teach 2 courses/semester including summer. RA support is occasionally available if PI has the $$. 
University of Chicago (UC),Booth,"$40,000",1.65,2016-2017,1st,,"$40,000",,,"Fellowship, no TA duties"
University of California - Davis (UCD),Political Science,"$18,000",0.75,2016-2017,1st,,"$18,000",,,
Columbia University (CU),SEAS,"$29,348",0.99,2016-2017,1st,,"$31,500",,"$2,152",
Northwestern University (NU),Chemical,"$30,000",1.24,2016-2017,,"$78,000",,,"$48,000",
Cornell University (CU),Biophysics,"$30,600",1.26,2015-2016,4th,"$30,700",,,$100,
University of North Carolina - Chapel Hill (UNC),Curriculum in Toxicology,"$29,000",1.30,2016-2017,4th,"$29,000",,,,
Stony Brook University - SUNY,applied mathematics and statistics,"$18,000",0.64,2016-2017,1st,,"$20,000",,"$2,000",
University of California - Berkeley,History ,"$22,000",0.79,2016-2017,4th,,"$22,000",,,
University of Utah,Oncological Sciences,"$27,000",1.21,2016-2017,5th,"$27,000",,,,
Northern Arizona University (NAU),Biology,"$20,000",0.85,2016-2017,1st,,"$20,000",,,"Full tuition waiver and health insurance. 
Fees for each semester (Spring and Fall). 
"
University of Massachusetts - Amherst (UMass),Spanish and Portuguese Studies,"$1,880",0.08,2016-2017,5th,"$2,000",,,$120,
Oregon State University (OSU),Nuclear Science and Engineering,"$1,581",0.08,2016-2017,5th,,"$1,581",,,
Lehigh University,English,"$20,000",0.89,2016-2017,1st,,"$20,000",,,
University of Southern Mississippi (USM),Polymer Science and Engineering,"$25,000",1.17,2016-2017,1st,"$25,000",,,,
Rutgers the State University of New Jersey - Newark,Criminal Justice,"$29,000",1.07,2016-2017,1st,,"$25,000","$4,000",,
University of Minnesota - Twin Cities (UM),,"$26,500",1.16,2016-2017,3rd,"$26,500",,,,
University of California - San Diego (UCSD),Political Science,"$28,000",1.06,2016-2017,2nd,,"$28,000",,,
Purdue University - West Lafayette,Management Phd,"$19,700",0.93,2016-2017,1st,,"$16,500","$3,300",$100,
University of Illinois - Urbana- Champaign (UIUC),Chemical engineering,"$35,000",1.59,2016-2017,,"$35,000",,,,
Illinois Institute of Technology (IIT),Electrical engineering,"$1,000",0.04,2016-2017,1st,,"$1,000",,,
San Diego State University (SDSU),Ecology,"$16,254",0.61,2016-2017,2nd,"$17,754",,,"$1,500",
,busniss administracion,,,2016-2017,,"$5,000",,,"$5,000",
,,"$30,000",,2016-2017,,"$30,000",,,,
University of Wisconsin - Milwaukee (UWM),Administrative Leadership,"$12,455",0.58,2016-2017,1st,"$13,055",,,$600,
Northwestern University (NU),Chemistry,"$31,716",1.31,2016-2017,1st,"$31,716",,,,
Georgia Institute of Technology (Georgia Tech),Chemistry,"$23,500",1.01,2016-2017,,"$27,000",,,"$3,500",
University of Notre Dame (ND),Medieval Institute,"$19,500",0.95,2016-2017,6th and up,,"$19,500",,,"I have a supplemental stipend that I had to apply for, because the College of Arts and Letters transitioned to a 5+1 program. I received an external grant, so they were willing to provide an additional 9 months of funding at a slightly reduced amount."
Purdue University - West Lafayette,Biomedical Engineering,"$13,500",0.64,2016-2017,1st,"$23,500",,,"$10,000",
Central Michigan University (CMU),Psychology ,"$13,700",0.69,2016-2017,2nd,,"$13,700",,,
Iowa State University (ISU),Molecular biology,"$18,500",0.87,2016-2017,1st,,"$19,000",,$500,
University of Minnesota - Twin Cities (UM),chemical physics,"$29,600",1.29,2016-2017,,"$31,100",,,"$1,500",
Northwestern University (NU),Psychology,"$30,000",1.24,2016-2017,1st,"$30,000",,,,
University of Tennessee - Knoxville,Psychology,"$3,500",0.16,2016-2017,1st,,"$3,500",,,
Ohio State University (OSU),Veterinary preventive medicine,"$26,000",1.30,2016-2017,3rd,"$26,000",,,,
Old Dominion University (ODU),Computer Science,"$19,000",0.72,2016-2017,1st,"$19,000",,,,
Syracuse University,Biomedical and Chemical Engineering,"$29,810",1.58,2014-2015,1st,"$30,000",,,$190,"NSF IGERT fellowship through BME, ChemE, Physics, and Bio. First two years, then you're on your own/professor. 2016-2017 was the last year offering this, but a similar program was supposed to be implemented. Unfortunately, doesn't get you faculty health insurance. Other RA/TAs seem to be $25k+"
University of Wisconsin - Madison (UW),Cellular and Molecular  Biology,"$24,800",1.09,2016-2017,1st,"$26,000",,,"$1,200",
University of Texas Medical Branch - Galveston,Microbiology and Immunology,"$27,900",1.28,2016-2017,5th,"$27,900",,,,
Emory University,Genetics and Molecular Biology,"$28,750",1.23,2016-2017,1st,"$29,000",,,$250,
Montana State University (MSU),science,"$15,000",0.72,2016-2017,1st,,"$15,000",,,
Georgia Institute of Technology (Georgia Tech),Mechanical,"$23,300",1.00,2016-2017,1st,"$25,500",,,"$2,200",
University of Kansas (KU),,"$19,000",0.93,2016-2017,,"$20,000",,,"$1,000",
University of Kansas (KU),,"$19,000",0.93,2016-2017,,"$20,000",,,"$1,000",
Princeton University,Computer Science,"$38,500",1.51,2016-2017,1st,,"$30,500","$8,000",,
University of Kentucky (UK),Rehabilitation Sciences,"$27,091",1.33,2016-2017,1st,"$27,950",,,$859,
Lamar University,Chemical engineering ,"$16,800",0.82,2016-2017,1st,"$18,000",,,"$1,200",
University of Michigan - Ann Arbor (UM),Oral Health Science,"$30,000",1.30,2016-2017,1st,"$30,000",,,,
Baylor College of Medicine,c,"$29,950",1.37,2016-2017,1st,"$30,000",,,$50,
Cornell University (CU),chemistry,"$28,000",1.15,2016-2017,1st,"$28,000",,,,
University of California - Los Angeles (UCLA),Chemistry,"$30,500",1.18,2016-2017,1st,"$30,500",,,,
Arizona State University (ASU),Computer Engineering,"$19,104",0.86,2016-2017,,,"$16,000","$4,800","$1,696",
University of South Florida (USF),Civil Engineering,"$18,200",,2016-2017,1st,"$20,000",,,"$1,800",+ Health Insurance and Tuition Waiver
Boston University (BU),Bme,"$32,500",1.13,2016-2017,1st,"$32,500",,,,
University of Kentucky (UK),Statistics,"$15,100",0.74,2016-2017,1st,,"$16,000",,$900,
University of Kentucky (UK),IBS,"$25,000",1.22,2016-2017,1st,"$25,000",,,,
University of Kentucky (UK),Health Sciences ,"$14,280",0.70,2016-2017,1st,"$15,000",,,$720,
University of Kentucky (UK),University Counseling Center,"$28,000",1.37,2016-2017,5th,"$28,000",,,,Also given health insurance
University of Kentucky (UK),Physics and Astronomy ,"$21,740",1.06,2016-2017,5th,,"$18,000","$4,000",$260,I get paid less in the summer due to extra taxes. 
University of Kentucky (UK),Biochemistry,"$25,000",1.22,2016-2017,4th,"$25,000",,,,"I also receive a $3000/yr incentive award
"
University of Kentucky (UK),Mechanical Engineering,"$17,250",0.85,2016-2017,3rd,"$19,000",,,"$1,750","My total pay incl. two semesters of TA and a RA position during summer. 
I've been in the university for 3 years now, within which the costs have increased considerably (especially housing) while income (stipend) being constant. "
University of Kentucky (UK),Gender and Women's Studies,"$14,027",0.69,2016-2017,1st,,"$14,575",,$548,"Fees only include student fees, not additional fees for course materials such as textbooks, of which there are many. "
University of Kentucky (UK),Civil Engineering,"$13,400",0.66,2016-2017,1st,,"$14,400",,"$1,000",
University of Kentucky (UK),Forestry,"$13,750",0.67,2016-2017,2nd,"$14,000",,,$250,
University of Kentucky (UK),Chemistry,"$22,880",1.12,2016-2017,2nd,"$23,480",,,$600,
University of Kentucky (UK),,"$-16,600",-0.81,2016-2017,1st,,"$14,400","$5,000","$36,000",Hope to get more stipend to have easier life
University of Kentucky (UK),College of Pharmacy,"$23,500",1.15,2016-2017,1st,"$24,000",,,$500,An additional 400$ annually for parking fees if you are driving. I take the bus to avoid these and other costs.
University of California - Davis (UCD),Electrical And Computer Engineering,"$6,489",0.27,2016-2017,1st,,"$2,134","$4,355",,
University of Kentucky (UK),Plant Pathology,"$19,700",0.97,2016-2017,1st,"$20,000",,,$300,
University of Kentucky (UK),Political Science,"$13,675",0.67,2016-2017,1st,,"$14,000",,$325,
University of Kentucky (UK),Chemistry,"$17,347",0.85,2015-2016,1st,"$18,097",,,$750,
University of Kentucky (UK),Chemistry,,0.00,2016-2017,1st,"$23,000",,,"$23,000",I live pay check to pay check. All the money I get I use all of it for rent and food. 
University of Kentucky (UK),Chemistry,"$22,500",1.10,2016-2017,1st,"$23,900",,,"$1,400","I came into this from having a job with a decent salary, and still having student loans from undergraduate. Although those are deferred for the time being, I still have other bills I am paying. Like a car payment, rent, utilities, and some family bills. "
University of Kentucky (UK),Hispanic Studies ,"$16,000",0.78,2016-2017,2nd,,"$16,000",,,It's very hard to live on this. 
University of Kentucky (UK),College of Pharmacy,"$29,000",1.42,2016-2017,1st,"$30,000",,,"$1,000",
University of Kentucky (UK),Economics,"$17,000",0.83,2015-2016,,,"$14,000","$3,500",$500,
University of Kentucky (UK),Plant Pathology,"$20,000",0.98,2016-2017,1st,"$20,000",,,,
University of Kentucky (UK),Communication ,"$15,500",0.76,2016-2017,2nd,,"$16,000",,$500,
University at Albany - SUNY,Political Science,"$17,350",0.76,2016-2017,1st,"$18,300",,,$950,$15300 (9 mos.) + 3000 (summer); Some fees reduced for students who are union members (typically all funded students); receive $750 biweekly before taxes; health insurance is $15/biweekly pay period.
University of Kentucky (UK),Pharmaceutical Sciences ,"$23,985",1.17,2016-2017,3rd,"$24,000",,,$15,
University of Kentucky (UK),Music ,"$10,525",0.52,2016-2017,3rd,,"$11,000",,$475,
Georgetown University,Biology,"$30,500",0.99,2016-2017,5th,"$30,500",,,,Includes student health insurance; Department pays for on-campus fitness center fees
Georgetown University,Pharmacology,"$29,000",0.94,2016-2017,3rd,"$29,000",,,,
,,"$40,000",,2016-2017,,"$40,000",,,,
University of Chicago (UC),Geophysical Sciences,"$31,500",1.30,2016-2017,1st,"$31,500",,,,
University of California - San Francisco (UCSF),Bioinformatics,"$36,000",1.20,2016-2017,2nd,"$36,000",,,,
Stanford University (SU),Anthropology,,0.00,2016-2017,1st,,,,,
Georgia Institute of Technology (Georgia Tech),Psychology,"$15,500",0.67,2016-2017,5th,,"$18,000",,"$2,500",
University of North Carolina - Chapel Hill (UNC),Information Science,"$16,000",0.72,2016-2017,1st,"$16,000",,,,
University of Toledo,Physiology and Pharmacology,"$21,220",1.13,2016-2017,2nd,"$22,920",,,"$1,700",
University of North Texas (UNT),Chemistry,"$19,100",0.89,2016-2017,2nd,"$20,400",,,"$1,300","Tuition Benefit removes majority of fees, but you still have to pay ~$1300/semester out of salary because Texas does not allow grad schools to waive tuition"
University of South Carolina (USC),Mechanical Engineering ,"$16,500",0.73,2016-2017,1st,"$16,500",,,,"with 100% tuition, fees, and health insurance"
Utah State University (USU),Electrical and Computer Engineering,"$19,250",0.93,2016-2017,5th,"$20,000",,,$750,
University of Kentucky (UK),Animal and Food Sciences,"$21,000",1.03,2016-2017,1st,"$21,000",,,,
North Dakota State University (NDSU),Agricultural and Biosystems Engineering,"$15,200",0.79,2016-2017,1st,"$18,000",,,"$2,800","Stipend begins from 18000 USD per year. You have to pay health insurance, course fees yourself which totally amounts to 3800-4000 USD per year."
Oklahoma State University (OSU),Biosystems and Agricultural Engineering,"$21,600",1.11,2016-2017,1st,"$21,600",,,,
Grand Canyon University,Doctoral,"$25,000",,2016-2017,1st,,"$25,000",,,
Syracuse University,english,"$3,800",0.18,2016-2017,,,"$10,500",,"$6,700",
University of Mississippi (Ole Miss),Biomolecular Science(School of Pharmacy),"$21,500",0.99,2016-2017,5th,"$22,000",,,$500,60-70% health insurance and full tuition waived
Washington State University (WSU),,"$28,000",1.48,2016-2017,4th,"$30,000",,,"$2,000",
Temple University (TU),English,"$16,627",0.69,2016-2017,4th,,"$16,927",,$300,
University of Oklahoma (OU),Electrical and Computer Engineering,"$14,800",0.74,2016-2017,1st,"$18,000",,,"$3,200",
University of Kentucky (UK),Biology,"$20,500",1.00,2016-2017,2nd,,"$21,000",,$500,
University of Kentucky (UK),Biology,"$21,800",1.07,2016-2017,1st,,"$22,000",,$200,"I don't remember the exact amount of required fees, but it's at least $200. "
University of Kentucky (UK),Entomology,"$17,500",0.86,2016-2017,2nd,"$18,000",,,$500,
University of Kentucky (UK),Entomology,"$20,000",0.98,2016-2017,1st,"$20,000",,,,
University of Kentucky (UK),English,"$15,000",0.73,2016-2017,4th,,"$15,000",,,
University of Kentucky (UK),Entomology,"$17,887",0.88,2016-2017,1st,"$18,000",,,$113,
Temple University (TU),African American Studies ,"$16,400",0.68,2016-2017,4th,,"$17,000",,$600,
Princeton University,Mathematics,"$-5,000",-0.20,2016-2017,,"$45,000",,,"$50,000",
Temple University (TU),Physics ,"$25,800",1.07,2016-2017,2nd,,"$18,000","$9,000","$1,200",
Temple University (TU),physics,"$20,000",0.83,2016-2017,5th,,"$18,000","$3,000","$1,000",
Temple University (TU),Mathematics,"$23,505",0.97,2016-2017,,,"$18,285","$5,920",$700,
Temple University (TU),Public Health: Environmental Health Sciences,"$20,866",0.87,2016-2017,3rd,,"$17,216","$4,000",$350,
Ohio State University (OSU),Public Health: Environmental Health Sciences,"$15,546",0.77,2016-2017,3rd,"$16,659",,,"$1,113",
Temple University (TU),political science,$650,0.03,2016-2017,,,"$1,750",,"$1,100", I also get $525 per month for health insurance (me+ one dependent)
Temple University (TU),Educational Psychology,"$25,000",1.04,2016-2017,6th and up,"$25,000",,,,
Temple University (TU),Philosophy,"$16,470",0.68,2016-2017,3rd,,"$16,770",,$300,"These numbers are estimates, although I don't think I'm off by much. "
Temple University (TU),Criminal Justice,"$25,912",1.07,2016-2017,6th and up,,"$17,604","$8,608",$300,
Northwestern University (NU),Chemistry,"$29,600",1.22,2015-2016,1st,"$30,000",,,$400,
Temple University (TU),Urban Education,"$16,689",0.69,2016-2017,3rd,,"$17,604",,$915,
Temple University (TU),Fine art,"$14,000",0.58,2015-2016,2nd,"$18,000",,,"$4,000",
University of Kentucky (UK),Animal and Food Science,"$7,150",0.35,2016-2017,1st,,"$7,500",,$350,
University of Kentucky (UK),Animal and Food Sciences,"$14,850",0.73,2016-2017,2nd,"$15,000",,,$150,
Indiana University,Biology - EEB,"$25,000",1.16,2016-2017,2nd,"$25,000",,,,"Fees vary based on credits taken, ~$1300/term for a 12 credits (the full load while still taking courses)."
University of Kentucky (UK),Animal and Food Sciences,"$18,000",0.88,2016-2017,2nd,"$18,000",,,,
Temple University,English,"$15,000",,2008-2009,5th,"$15,000",,,,
Temple University (TU),Anthropology ,"$20,652",0.86,2016-2017,3rd,"$21,000",,,$348,The inequality between the TAs at Temple is not acceptable. This is a divide-and-rule strategy that eats us all. We should stand up all together and be in solidarity until we all are paid equally!
Temple University (TU),Political Science ,"$16,500",0.68,2016-2017,2nd,,"$17,500",,"$1,000",
Johns Hopkins University (JHU),Human Genetics,"$31,006",1.21,2016-2017,5th,"$31,006",,,,
Temple University (TU),Department of Religion,"$19,750",0.94,2014-2015,5th,,"$16,000","$4,000",$250,
Temple University (TU),English,"$15,789",0.65,2016-2017,3rd,,"$16,059",,$270,
Johns Hopkins University (JHU),Sociology,"$23,500",0.91,2016-2017,6th and up,,"$23,500",,,
Temple University (TU),Political Science,"$17,292",0.72,2015-2016,3rd,,"$17,292",,,"There are student fees every semester, but TAs do get health insurance through the grad student union. Had to teach and/or TA 2 classes each semester while taking a full course load. Assistantship doesn't cover the summer months, and there are only a few openings to teach over the summer. Philadelphia isn't the most expensive city ever, but there's still not a lot of room to save, even without dependents."
Temple University (TU),English / Creative Writing,"$15,900",0.76,2012-2013,2nd,,"$15,900",,,"MFA. Taxed and had to teach 2 classes, but also got free health insurance thanks to the grad student union."
University of Florida (UF),Computer and Information Science and Engineering,"$18,000",0.79,2016-2017,3rd,"$20,000",,,"$2,000",
University of Texas - Dallas (UTD),Physics,"$22,800",1.06,2016-2017,,"$22,800",,,,
University of North Texas (UNT),English,"$14,000",0.65,2016-2017,3rd,,"$14,000",,,
Stony Brook University - SUNY,Chemical Engineering,"$-16,000",-0.57,2016-2017,1st,"$22,000",,,"$38,000",
University of Memphis,computer Science,"$13,800",0.62,2016-2017,1st,"$13,800",,,,
Long Island University,Pharmaceutical Sciences,"$5,150",,2016-2017,2nd,"$6,000",,,$850,
Louisiana State University School of Medicine - New Orleans,Genetics,"$23,400",1.02,2016-2017,5th,"$24,000",,,$600,
Columbia University (CU),Music,"$30,710",1.03,2016-2017,2nd,,"$27,270","$3,500",$60,
Harvard University (HU),Biological and Biomedical Sciences,"$35,850",1.25,2016-2017,,"$36,000",,,$150,
North Carolina A&amp;T; State University (NC A&amp;T),Mechanical Engineering,"$8,000",,2016-2017,1st,,"$20,000","$8,000","$20,000",
Virginia Tech,Computer Science,"$16,700",0.79,2016-2017,1st,,"$16,700",,,after fees and insurance I get 1550 per month for the months when tax is not withheld.
University of Kentucky (UK),Computer Science,"$16,400",0.80,2016-2017,2nd,,"$18,000",,"$1,600",
University of Kentucky (UK),Economics,"$12,500",0.61,2016-2017,1st,,"$13,000",,$500,
University of Oslo,Clinical Medicine/ Cancer Immunology ,"$38,215",,2016-2017,2nd,"$57,037",,,"$18,822",
Iceland,engineering,"$32,975",,2016-2017,2nd,"$33,600",,,$625,net annual pay: 24500 USD
University of Cincinnati (UC),Molecular and Developmental Biology,"$27,250",1.41,2016-2017,1st,"$27,250",,,,"They also pay my tuition and health insurance, totaling $25,842."
University of Kentucky (UK),Sociology,$15,0.00,2016-2017,,,$15,,,
UC Berkeley,History,"$24,000",,2016-2017,2nd,"$24,000",,,,"My first year it was 22K; they are now raising it to 24K.  The tuition is essentially an accounting formality; tuition remission comes is a part of the fellowship contract.  For those who are not Americanists, it is generally not too difficult to get an extra couple of thousand dollars for the summer, though often with the stipulation that you are traveling internationally and then returning to the very expensive Bay Area housing market.  You don't have to TA or grade in the first year or the fourth year."
University of Kentucky (UK),Political science/PhD,"$16,450",0.81,2016-2017,3rd,,"$13,950","$2,500",,
Duke University (DU),MEMS,"$34,000",1.53,2016-2017,1st,"$34,000",,,,NSF GRFP
University of Kentucky (UK),Mathematics,"$19,600",0.96,2016-2017,3rd,,"$16,275","$3,400",$75,
North Carolina State University (NCSU),Education,"$14,314",0.63,2016-2017,2nd,"$16,800",,,"$2,486",
,,,,2016-2017,,,,,,
University of Kentucky (UK),Gerontology ,"$15,750",0.77,2016-2017,3rd,,"$16,000",,$250,
CUNY - Hunter College,Computer science,"$20,000",0.67,2016-2017,6th and up,"$20,000",,,,
Southern Methodist University (SMU),Mechanical Engineering,"$2,000",0.09,2016-2017,1st,,"$2,000",,,
University of Kentucky (UK),Communication,"$14,000",0.69,2015-2016,4th,,"$14,000",,,
University of Kentucky (UK),Transformative Learning,"$15,850",0.78,2016-2017,6th and up,,"$16,000",,$150,
University of Kentucky (UK),Electrical Engineering,"$16,400",0.80,2016-2017,,,"$14,000","$4,000","$1,600",
University of Kentucky (UK),Mathematics,"$16,045",0.79,2016-2017,1st,,"$16,300",,$255,
University of Oregon (UO),Chemistry,"$25,000",1.19,2016-2017,5th,"$25,200",,,$200,
University of Oregon (UO),school psychology,"$15,000",0.71,2016-2017,,,"$15,000",,,
